"","ISO","Country","year","CC.SH.AIRP.AIR","CC.SH.AIRP.AMB","EN.ATM.PM25.MC.M3","EN.ATM.PM25.MC.ZS","SH.STA.AIRP.FE.P5","SH.STA.AIRP.MA.P5","SH.STA.AIRP.P5","total_ghg","population","region","capital","longitude","latitude","income","ghg_per_capita","Policy_Index","Policy_Index_Normalized","ghg_per_capita_normalised"
"1","AFG","Afghanistan",2000,NA,NA,64.767279818427,100,NA,NA,NA,11.82,20130327,"South Asia","Kabul",69.1761,34.5228,"Low income",5.87173770202541e-07,NA,NA,0.312474602992534
"2","AFG","Afghanistan",2001,NA,NA,64.5975727246894,NA,NA,NA,NA,12.73,20284307,"South Asia","Kabul",69.1761,34.5228,"Low income",6.27578748438386e-07,NA,NA,0.312876176419008
"3","AFG","Afghanistan",2002,NA,NA,64.4168880125936,NA,NA,NA,NA,15.38,21378117,"South Asia","Kabul",69.1761,34.5228,"Low income",7.19427253578975e-07,NA,NA,0.313789032223818
"4","AFG","Afghanistan",2003,NA,NA,64.1762314183241,NA,NA,NA,NA,16.07,22733049,"South Asia","Kabul",69.1761,34.5228,"Low income",7.0690033703794e-07,NA,NA,0.313664530812898
"5","AFG","Afghanistan",2004,NA,NA,63.8266086780653,NA,NA,NA,NA,15.69,23560654,"South Asia","Kabul",69.1761,34.5228,"Low income",6.65940767179044e-07,NA,NA,0.313257445460219
"6","AFG","Afghanistan",2005,NA,NA,63.3190255280017,100,NA,NA,NA,16.76,24404567,"South Asia","Kabul",69.1761,34.5228,"Low income",6.86756704185737e-07,NA,NA,0.313464329055113
"7","AFG","Afghanistan",2006,NA,NA,61.5146494273075,NA,NA,NA,NA,17.39,25424094,"South Asia","Kabul",69.1761,34.5228,"Low income",6.83996841736032e-07,NA,NA,0.31343689957813
"8","AFG","Afghanistan",2007,NA,NA,58.0837850174423,NA,NA,NA,NA,18.34,25909852,"South Asia","Kabul",69.1761,34.5228,"Low income",7.07838856045955e-07,NA,NA,0.313673858482663
"9","AFG","Afghanistan",2008,NA,NA,54.1911438080183,NA,NA,NA,NA,21.47,26482622,"South Asia","Kabul",69.1761,34.5228,"Low income",8.10720328221277e-07,1.5,0.004149377593361,0.314696367765083
"10","AFG","Afghanistan",2009,NA,NA,51.0014373086482,NA,NA,NA,NA,24.44,27466101,"South Asia","Kabul",69.1761,34.5228,"Low income",8.89824150868738e-07,NA,NA,0.315482557845976
"11","AFG","Afghanistan",2010,NA,NA,49.6793770289443,100,NA,NA,NA,28.71,28284089,"South Asia","Kabul",69.1761,34.5228,"Low income",1.01505832484122e-06,NA,NA,0.316727224185362
"12","AFG","Afghanistan",2011,NA,NA,61.8170559083924,100,NA,NA,NA,32.2,29347708,"South Asia","Kabul",69.1761,34.5228,"Low income",1.09718959995104e-06,4,0.0110650069156293,0.317543503243205
"13","AFG","Afghanistan",2012,NA,NA,70.9223165078033,100,NA,NA,NA,30.68,30560034,"South Asia","Kabul",69.1761,34.5228,"Low income",1.00392558463777e-06,2,0.00553250345781466,0.316616579091001
